Distance Bin	Pseudo Energy
0-1	nan
1-2	-0.7904740048507468
2-3	-0.7904740048507468
3-4	-0.2675952595704093
4-5	-0.5386620318569472
5-6	-0.009650164605776368
6-7	-0.15608834833488683
7-8	-0.22673643370731728
8-9	-0.24034593917212957
9-10	-0.11678258111941132
10-11	-0.05170622894446879
11-12	-0.02747614781874861
12-13	-0.07418764101570448
13-14	-0.1444246983640491
14-15	-0.05299145655297965
15-16	0.1340972082165926
16-17	0.07317546411428422
17-18	0.07212713598121627
18-19	0.009315318687223285
19-20	0.07384905976143628
